Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score
AGR,Agriseco,HOSE,Tài chính,2024,-0.09944126936891401,-0.4173536122011194,,-0.4188032937922355,0.15754557553167792
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2020,-0.6887159804187996,0.08317251970692481,,0.4191426310552915,-0.19295304977582983
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2021,-0.3748085935631223,-0.04215856998024477,-0.22338062281448104,0.38955530616907935,-0.45862319855267425
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2022,-0.5061895537470701,-0.13170234648767604,-0.21008999934293812,0.462609695055619,0.5648125145855476
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2023,-0.5093421634627827,-0.149433103764452,-0.13953811290989038,0.40533537336502773,-0.30428642520873
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2024,-0.33614389253103855,-0.28085461623533803,0.01864394729136708,0.3799326947003222,-0.2898750248286187
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2020,2.1711891802513197,-0.28271356868055714,,-1.2055858538260218,0.38237426952824105
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2021,1.5548837266211546,-0.18365577045516518,-1.6287428965200592,-1.3541430802526357,-1.1952022775268638
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2022,0.054855470441064945,0.1832594748876197,-1.698861825940623,-1.5459886680672268,-1.683654316786131
APG,Chứng khoán APG,HOSE,Tài chính,2020,2.791232487803025,-0.49863286001122836,,-1.8216282621448738,0.642886700155644
APG,Chứng khoán APG,HOSE,Tài chính,2021,-0.18533749340093222,-0.6121604381161663,,-0.9031282685528168,1.558669159047098
APG,Chứng khoán APG,HOSE,Tài chính,2022,3.4456635271388283,-0.5136886657999306,,-0.96890416604483,-1.7295774376304536
APG,Chứng khoán APG,HOSE,Tài chính,2023,0.7400358878078435,-0.5850749719258962,,-0.7055451512151432,0.5424081935112245
APG,Chứng khoán APG,HOSE,Tài chính,2024,0.05885449623772863,-0.5506118075919955,,-0.7972147947046371,-0.4929836314674101
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2020,-0.4152497873436314,-0.020478439976488315,,1.4625816402925684,-0.19956204252280463
