Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score
AGG,Bất động sản An Gia,HOSE,Tài chính,2021,-0.4886458715690145,0.7532988337752511,-0.1978444142156828,0.3991079711668749,0.0492359255354026,0.10303048893856626
AGG,Bất động sản An Gia,HOSE,Tài chính,2022,-0.3714947074314946,0.338147922413715,0.8523689611078652,0.6882799929588994,-0.1427574517704613,0.2729089434557047
AGG,Bất động sản An Gia,HOSE,Tài chính,2023,-0.193068191167838,0.1994568564401602,0.4794387600837796,0.5335003446882752,0.521029475107218,0.308071449030319
AGG,Bất động sản An Gia,HOSE,Tài chính,2024,-0.1503191767248099,-0.0691334218181098,0.1763228959080021,0.2034924548860421,0.1649586926522609,0.06506428898067708
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2021,-0.2182719825594709,0.9670911797887496,0.3961422571860433,0.0718655599390392,-0.4039314018274338,0.16257912250538548
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2022,-0.5249082557950279,1.0911897450117816,0.0120795188714655,-0.1321914593703116,-2.20649176068383,-0.35206444239318446
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2023,-0.6194260494584442,3.889555906605149,-0.3446872738658238,-0.7292538279211132,-4.605514736073681,-0.48186519614278256
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2024,-0.4736872849058676,-1.971352510455276,-2.2479648310883187,-1.187707708098952,-2.55005252941993,-1.686152972793669
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2021,-0.3748085935631223,-0.0421585699802447,-0.223380622814481,0.3895553061690793,-0.4586231985526742,-0.14188313574828856
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2022,-0.5061895537470701,-0.131702346487676,-0.2100899993429381,0.462609695055619,0.5648125145855476,0.035888062012696474
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2023,-0.5093421634627827,-0.149433103764452,-0.1395381129098903,0.4053353733650277,-0.30428642520873,-0.13945288639616543
ANV,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,2024,-0.3361438925310385,-0.280854616235338,0.018643947291367,0.3799326947003222,-0.2898750248286187,-0.10165937832066121
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2021,1.5548837266211546,-0.1836557704551651,-1.6287428965200592,-1.3541430802526355,-1.1952022775268638,-0.5613720596267138
APC,Chiếu xạ An Phú,HOSE,Dược phẩm và Y tế,2022,0.0548554704410649,0.1832594748876197,-1.698861825940623,-1.5459886680672268,-1.683654316786131,-0.9380779730930593
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2021,-0.1140257876597088,-0.0371192634755274,0.1622330771170103,1.6182457839653617,-0.4845173596303916,0.22896329006334884
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2022,-0.1340571783678986,0.0212219221738078,0.2390656506654803,1.638864510203773,-0.3558164459307693,0.2818556917488787
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2023,-0.1878528557948546,0.0098539301693354,0.3906624394734524,1.5604923121522436,-0.4709091767123293,0.2604493298575695
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2024,-0.1926219501013956,-0.0319840176281493,0.2066365239767979,1.428805769867041,-0.2406744487427269,0.2340323754743135
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2021,-0.1763975799188462,-0.2615891602909588,-0.2944861622680209,0.0102824686751553,-0.5542653070159378,-0.25529114816372167
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2022,-0.037182760389444,-0.199958798129073,-0.1696915688919037,0.3891688563608639,-0.0616359990703506,-0.01586005402398147
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2023,-0.1458543220219552,-0.2021770084288445,-0.1271944332773471,0.3963684727647529,-0.5882878568533512,-0.13342902956334904
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2024,-0.2785303862318969,-0.2998431563135395,-0.2121194895137113,0.3547584651612633,-0.3346763108089281,-0.1540821755413625
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2021,-0.2466321617723574,0.1115959717436277,-0.415052344244,1.305495780429298,-0.2048703210402039,0.11010738502327286
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2022,-0.3668462213113306,0.3177189473566941,-0.438142955698416,1.2998192786269875,0.0573343453192472,0.17397667885863646
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2023,-0.3442725823100529,-0.006499803911706,-0.632779269664231,1.2703635543741798,-0.2442779965966148,0.008506780378314992
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2024,-0.1915053183564086,-2.216868211348453,-0.5299741604755163,1.245951325068221,-0.2505674665540941,-0.38859276633325013
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2021,-0.5322999862823096,0.9237229054670232,0.4689385534287031,0.2207247866327616,-0.9276024149607082,0.030696768857094027
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2022,-0.6489369663147699,3.683359865946189,0.4747090343203897,0.2085041785850168,-1.047891757814054,0.5339488709445541
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2023,-0.6384450806067142,1.2348508232939666,0.3309981836674031,0.2075394223053038,-1.86443310941866,-0.14589795215174015
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2024,-0.5567430523511853,1.4634208992623914,0.4906678920786215,0.0650504980737408,-0.5793954365857333,0.176600160095567
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2021,-0.2931138004803601,-0.2682181871140025,-0.3291166489955145,-0.8312530775890721,-1.5045257271614532,-0.6452454882680805
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2022,-0.0560167786859944,-0.1889665528779133,-0.2014579538181951,-0.5567682364288145,-0.2233299324208586,-0.24530789084635515
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2023,-0.0236949869756629,-0.1773430166911489,-0.0721808618551601,-0.3738706017942379,0.9443794807260102,0.05945800268196009
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2024,-0.2685275305262557,-0.145788807027959,-0.0324682775034024,-0.3417126816269674,1.083641335134148,0.05902880768991272
