Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score,cluster_raw,cluster
L10,LILAMA 10,HOSE,Công nghiệp,2021,-0.130732111530709,1.2787782048079164,-0.0668887953034145,-0.0627164719580715,-0.4614722719035289,0.1113937108224385,0,0
LBM,Khoáng sản Lâm Đồng,HOSE,Công nghiệp,2021,-0.1113754952990313,-0.4087841878791693,0.3355638979323163,-0.4744887462879132,0.7912163026834874,0.0264263542299379,2,1
LCG,LIZEN,HOSE,Công nghiệp,2021,-0.2825259988598331,0.1264628177824329,-0.362853481141845,0.6723877479313326,-0.2869548621727608,-0.0266967552921346,1,2
LGC,Đầu tư Cầu đường CII,HOSE,Công nghiệp,2021,-0.3133560527215479,0.196997543157945,-0.4634525966581879,0.7310548344706504,-0.3476870399320133,-0.0392886623366307,1,2
LM8,LILAMA 18,HOSE,Công nghiệp,2021,-0.3546969981371154,0.939324863993008,0.0060919538052627,0.050430432399645,-0.5045593266253877,0.0273181850870825,0,0
MCP,In và Bao bì Mỹ Châu,HOSE,Công nghiệp,2021,-0.1928886790190117,-0.2985063314972216,0.1364194089106083,-0.84673973539966,0.0075977662139136,-0.2388235141582743,0,0
MDG,Xây dựng Miền Đông,HOSE,Công nghiệp,2021,-0.2774223757448113,0.0787593126544445,-0.256436963003022,-1.0349438880125672,-0.1386990861330681,-0.3257486000478048,0,0
MHC,CTCP MHC,HOSE,Công nghiệp,2021,0.1768568060662562,-0.1150549396602322,-2.8891786113619293,-1.1914414485366316,-0.1726274609237097,-0.8382891308832493,0,0
NAV,Tấm lợp và gỗ Nam Việt,HOSE,Công nghiệp,2021,-0.2283395207249178,-0.1760873632834028,-0.3078615244393405,-1.6864278072105126,0.4969101515563198,-0.3803612128203707,0,0
NCT,DV Hàng hóa Nội Bài,HOSE,Công nghiệp,2021,0.2388426928189649,-0.4269415771802088,0.3492366987961266,-0.4865400671783741,3.2912818803229347,0.5931759255158886,2,1
NHA,PT Nhà và Đô thị Nam HN,HOSE,Công nghiệp,2021,-0.3925626037590017,-0.152038850972409,-0.3328197157718991,-1.0864023998724872,-0.680899333791605,-0.5289445808334804,0,0
